iter	RMSE
0	279.8069285
1	269.7045771
2	260.4673872
3	251.8455454
4	243.4740892
5	235.4845463
6	228.2765255
7	221.4243484
8	215.0143274
9	209.1692727
10	203.6143564
11	198.7380661
12	193.8358987
13	188.7827268
14	184.3409146
15	180.146124
16	176.0095794
17	172.3263995
18	168.8958696
19	165.6047967
20	162.6147053
21	159.8431284
22	157.1272997
23	154.8050781
24	152.6442257
25	150.5745221
26	148.585844
27	146.7783954
28	145.1001856
29	143.584672
30	142.1750486
31	140.9582733
32	139.7987274
33	138.7481079
34	137.7303214
35	136.7921808
36	135.9242241
37	135.0559086
38	134.2836608
39	133.5980026
40	132.9554531
41	132.3686102
42	131.8513372
43	131.3399083
44	130.8805746
45	130.4508392
46	130.0455082
47	129.6920094
48	129.3557639
49	129.0386098
50	128.7418926
51	128.467837
52	128.1905901
53	127.9515041
54	127.7381956
55	127.5486684
56	127.3824921
57	127.2808152
58	127.0892742
59	127.024272
60	126.8651174
61	126.7261962
62	126.5828402
63	126.4587909
64	126.3495491
65	126.2314689
66	126.104735
67	126.0367818
68	125.9568561
69	125.8738749
70	125.7887247
71	125.6927027
72	125.649259
73	125.5784777
74	125.5225851
75	125.4417309
76	125.4186235
77	125.3553038
78	125.2717781
79	125.2313153
80	125.176752
81	125.1334785
82	125.0785157
83	125.0060236
84	124.9770811
85	124.9313131
86	124.8485253
87	124.8066939
88	124.7654497
89	124.716531
90	124.6710714
91	124.6307688
92	124.6100477
93	124.5555742
94	124.4768209
95	124.4535682
96	124.408337
97	124.3798533
98	124.3493378
99	124.2706575
100	124.2542231
101	124.1914228
102	124.1337959
103	124.0643321
104	124.0460899
105	124.0420257
106	124.0354832
107	124.0051752
108	124.0012713
109	123.9372152
110	123.9298896
111	123.9075966
112	123.8991491
113	123.8620979
114	123.8362961
115	123.7870518
116	123.770409
117	123.7666755
118	123.7628341
119	123.7524797
120	123.7349681
121	123.7199792
122	123.6844361
123	123.6609173
124	123.6346394
125	123.6297409
126	123.6090535
127	123.6061498
128	123.5582605
129	123.5068836
130	123.4786977
131	123.415625
132	123.3772697
133	123.3770834
134	123.3454691
135	123.3302886
136	123.3143002
137	123.2830943
138	123.2616022
139	123.2393154
140	123.1921547
141	123.1798759
142	123.1346854
143	123.1321949
144	123.121097
145	123.1187731
146	123.0987772
147	123.0965643
148	123.0489205
149	123.0381721
150	123.0293794
151	123.026671
152	123.0232942
153	123.0179174
154	122.9972576
155	122.9827302
156	122.9793757
157	122.9675025
158	122.9655187
159	122.9442668
160	122.925851
161	122.8993809
162	122.8851176
163	122.8289057
164	122.7967974
165	122.764735
166	122.7487025
167	122.7226733
168	122.7202409
169	122.7075498
170	122.7035196
171	122.6864067
172	122.6816651
173	122.6612079
174	122.6286808
175	122.617706
176	122.6161684
177	122.5577148
178	122.5562488
179	122.5548192
180	122.5307836
181	122.5294239
182	122.5264036
183	122.5251105
184	122.4995358
185	122.4930422
186	122.4704867
187	122.4631146
188	122.4547253
189	122.4169526
190	122.3985018
191	122.3671899
192	122.3661062
193	122.338265
194	122.3180369
195	122.2738861
196	122.2648538
197	122.2256274
198	122.1862293
199	122.1537056
