iter	Passed	Remaining
0	16	3204
1	37	3668
2	58	3825
3	78	3825
4	99	3887
5	123	3987
6	143	3955
7	163	3934
8	185	3932
9	207	3934
10	228	3918
11	256	4018
12	279	4020
13	302	4023
14	323	3991
15	343	3946
16	364	3929
17	387	3914
18	409	3896
19	431	3881
20	452	3859
21	473	3829
22	494	3807
23	516	3789
24	536	3757
25	557	3733
26	577	3702
27	597	3672
28	619	3653
29	642	3638
30	661	3604
31	679	3569
32	699	3539
33	717	3505
34	736	3472
35	757	3452
36	779	3434
37	799	3407
38	819	3383
39	839	3358
40	859	3333
41	881	3314
42	902	3293
43	922	3269
44	942	3246
45	962	3222
46	982	3197
47	1002	3176
48	1025	3159
49	1046	3139
50	1067	3117
51	1087	3095
52	1105	3066
53	1127	3047
54	1146	3022
55	1167	3001
56	1186	2977
57	1197	2931
58	1214	2903
59	1224	2856
60	1241	2828
61	1261	2808
62	1282	2788
63	1303	2769
64	1322	2746
65	1342	2725
66	1361	2702
67	1381	2681
68	1402	2663
69	1422	2640
70	1442	2621
71	1462	2599
72	1481	2577
73	1500	2554
74	1520	2533
75	1541	2514
76	1556	2486
77	1576	2465
78	1595	2444
79	1614	2422
80	1635	2402
81	1654	2381
82	1674	2360
83	1694	2339
84	1713	2318
85	1733	2298
86	1752	2276
87	1771	2254
88	1793	2236
89	1814	2217
90	1833	2195
91	1852	2174
92	1866	2147
93	1884	2125
94	1904	2105
95	1926	2086
96	1961	2083
97	1985	2066
98	2005	2045
99	2024	2024
100	2037	1997
101	2058	1978
102	2079	1957
103	2099	1938
104	2118	1916
105	2125	1884
106	2144	1863
107	2166	1845
108	2173	1814
109	2194	1795
110	2208	1770
111	2227	1750
112	2243	1727
113	2264	1708
114	2283	1687
115	2303	1668
116	2326	1650
117	2340	1626
118	2350	1600
119	2370	1580
120	2390	1560
121	2410	1540
122	2431	1522
123	2453	1503
124	2473	1483
125	2486	1460
126	2506	1440
127	2516	1415
128	2537	1396
129	2557	1377
130	2578	1358
131	2597	1338
132	2617	1318
133	2625	1293
134	2646	1274
135	2665	1254
136	2684	1234
137	2703	1214
138	2723	1195
139	2743	1175
140	2762	1155
141	2782	1136
142	2801	1116
143	2812	1093
144	2832	1074
145	2842	1051
146	2860	1031
147	2867	1007
148	2886	987
149	2906	968
150	2926	949
151	2937	927
152	2947	905
153	2966	885
154	2985	866
155	3004	847
156	3014	825
157	3034	806
158	3045	785
159	3065	766
160	3085	747
161	3103	728
162	3122	708
163	3141	689
164	3160	670
165	3178	651
166	3198	632
167	3219	613
168	3236	593
169	3255	574
170	3262	553
171	3282	534
172	3302	515
173	3320	496
174	3340	477
175	3358	457
176	3365	437
177	3383	418
178	3390	397
179	3396	377
180	3416	358
181	3423	338
182	3432	318
183	3439	299
184	3458	280
185	3477	261
186	3498	243
187	3517	224
188	3538	205
189	3559	187
190	3579	168
191	3599	149
192	3606	130
193	3627	112
194	3645	93
195	3666	74
196	3686	56
197	3706	37
198	3727	18
199	3749	0
